ensemble,Δx,compressor,metric,mean_boot,ci_low,ci_high,n
blobs40,0.1,none,r_NND,0.0,0.0,0.0,50
blobs40,0.1,none,r_Var,0.0,0.0,0.0,50
blobs40,0.1,zstd,r_PhI,0.19009575627518335,0.10468256730401834,0.27221424936115524,50
blobs40,0.1,zstd,r_PhIIa,-0.9984003695940354,-0.9985844078591757,-0.9982112237803695,50
blobs40,0.1,zstd,r_PhIIb,-0.9979727021216075,-0.9981642892173758,-0.9977669025145743,50
blobs40,0.1,zstd,r_Rg,0.9909764787183046,0.989389775124463,0.9924172489454277,50
blobs40,0.1,zstd,r_NND,0.9717678188294336,0.9674781382949905,0.9760036921848644,50
blobs40,0.1,zstd,r_Var,0.9722912801727652,0.9674405681122934,0.976501120992215,50
lattice40,0.001,bz2,r_PhI,0.7291366903772771,0.7015411688306324,0.7567309753735181,50
lattice40,0.001,bz2,r_PhIIa,-0.9089190599733789,-0.9155687382698289,-0.9019525181047704,50
lattice40,0.001,bz2,r_PhIIb,-0.9044260237754955,-0.9115609937997804,-0.8969523757199974,50
lattice40,0.001,bz2,r_Rg,0.9030818029954021,0.8967598982910754,0.9091869104610708,50
lattice40,0.001,bz2,r_NND,0.8971207319319237,0.8906958702514594,0.9034055622630778,50
lattice40,0.001,bz2,r_Var,0.7858327773526942,0.7772416120593995,0.7943273392094933,50
lattice40,0.001,gzip,r_PhI,0.5555828020167738,0.5173543749798495,0.5943387304532681,50
lattice40,0.001,gzip,r_PhIIa,-0.8318259549078444,-0.839967750864402,-0.8237137329338756,50
lattice40,0.001,gzip,r_PhIIb,-0.8422810862579289,-0.8513085239306867,-0.8332631253394879,50
lattice40,0.001,gzip,r_Rg,0.9200287577567445,0.9127702440267008,0.9268042958500324,50
lattice40,0.001,gzip,r_NND,0.9162918286818964,0.9088998725699031,0.922784989584177,50
lattice40,0.001,gzip,r_Var,0.8407072521208224,0.8307018135144372,0.8510143819284335,50
lattice40,0.001,lzma,r_PhI,0.5331623242276329,0.4795483163529359,0.5821277431434334,50
lattice40,0.001,lzma,r_PhIIa,-0.9687825239014299,-0.972944133937492,-0.9637462753594905,50
lattice40,0.001,lzma,r_PhIIb,-0.9524061438517468,-0.9567905378631417,-0.9480644131374721,50
lattice40,0.001,lzma,r_Rg,0.7516061996184424,0.73965693280104,0.7627645922105054,50
lattice40,0.001,lzma,r_NND,0.7409423896282192,0.7289240457300662,0.752309441313114,50
lattice40,0.001,lzma,r_Var,0.5754573430410795,0.5603271861210316,0.5896480554627731,50
lattice40,0.001,none,r_PhI,0.0,0.0,0.0,50
lattice40,0.001,none,r_PhIIa,0.0,0.0,0.0,50
