seed,ensemble,Δx,compressor,n_eff,r_PhI,r_PhIIa,r_PhIIb,r_Rg,r_NND,r_Var
0,blobs40,0.01,none,21,0.0,0.0,0.0,0.0,0.0,0.0
0,blobs40,0.001,none,21,0.0,0.0,0.0,0.0,0.0,0.0
0,uniform400,0.1,gzip,21,0.03286637482600635,-0.9992517862325545,-0.9993646186064998,0.9987909743063832,0.9840237355892811,0.992848749601439
0,uniform400,0.01,gzip,21,0.03286637482600635,-0.9997266996194186,-0.9997513803707728,0.9980499902695451,0.9812446392078966,0.9909140562858447
0,uniform400,0.001,gzip,21,0.03286637482600635,-0.9995274146488355,-0.9995959376847458,0.997898695118481,0.9811949688027677,0.9908092430662726
0,uniform400,0.1,bz2,21,0.18766561920627783,-0.9976476368671804,-0.9961122483864129,0.9960149083581841,0.9793991834603789,0.9889280689603982
0,uniform400,0.01,bz2,21,0.18766561920627783,-0.9973740970547144,-0.9981598736150542,0.9979555421947864,0.9852485141731492,0.993010066980028
0,uniform400,0.001,bz2,21,0.18766561920627783,-0.9989919218766669,-0.998947957166639,0.9966803262949141,0.9786272435229779,0.9889502908734313
0,uniform400,0.1,lzma,21,0.35403671870845516,-0.9985950883757199,-0.9990189335157947,0.9985752800901524,0.9848308434583278,0.9930381545650029
0,uniform400,0.01,lzma,21,0.35403671870845516,-0.9994618394850686,-0.9995370180398419,0.9965820402050095,0.9777029745563957,0.9882777126070972
0,uniform400,0.001,lzma,21,0.35403671870845516,-0.9991730431700054,-0.9988862601100154,0.996458947431052,0.9777623339241149,0.9883256209762722
0,uniform400,0.1,zstd,21,0.020794026595140583,-0.9984297587003912,-0.999435895224227,0.9985462368373359,0.9846968907303966,0.99318224405784
0,uniform400,0.01,zstd,21,0.020794026595140583,-0.9996694010049825,-0.9995374682284712,0.9982529692202011,0.981985467236927,0.9913628395352978
0,uniform400,0.001,zstd,21,0.020794026595140583,-0.9995434097626864,-0.9996065670329233,0.9958102717997397,0.9753738156764398,0.9866842091514755
0,uniform400,0.1,none,21,0.0,0.0,0.0,0.0,0.0,0.0
0,uniform400,0.01,none,21,0.0,0.0,0.0,0.0,0.0,0.0
0,uniform400,0.001,none,21,0.0,0.0,0.0,0.0,0.0,0.0
1,uniform40,0.1,gzip,21,0.5258203187582621,-0.992178194319674,-0.9893246679485845,0.8454506853510211,0.8138369705549218,0.6708398620903628
1,uniform40,0.01,gzip,21,0.5258203187582621,-0.98656376087146,-0.9847185672836024,0.864836572209,0.8356789070221224,0.6966810996399627
