ensemble,Δx,compressor,metric,n,mean_direct,p_value_vs_0,outlier_frac_>2sd
lattice40,0.001,none,r_Var,50,0.0,,0.0
lattice40,0.001,zstd,r_PhI,50,0.1330010972816431,0.006986855042768595,0.02
lattice40,0.001,zstd,r_PhIIa,50,-0.9724186230507901,5.90772194595099e-102,0.02
lattice40,0.001,zstd,r_PhIIb,50,-0.9724416984757737,7.696581167124037e-102,0.04
lattice40,0.001,zstd,r_Rg,50,0.8488266647788352,6.717934530371781e-79,0.06
lattice40,0.001,zstd,r_NND,50,0.8401162668300981,4.432073122043871e-78,0.06
lattice40,0.001,zstd,r_Var,50,0.6912371996303754,1.1615967601755652e-67,0.08
lattice40,0.01,bz2,r_PhI,50,0.7291366903772771,4.81035899324659e-44,0.04
lattice40,0.01,bz2,r_PhIIa,50,-0.9492703532676784,2.0421073796619905e-93,0.02
lattice40,0.01,bz2,r_PhIIb,50,-0.9507145178238035,6.579845777090182e-95,0.02
lattice40,0.01,bz2,r_Rg,50,0.878748005681389,6.222691279654167e-85,0.04
lattice40,0.01,bz2,r_NND,50,0.8712130811059231,1.6708261614685815e-84,0.04
lattice40,0.01,bz2,r_Var,50,0.737851062661035,1.5018183857800825e-72,0.04
lattice40,0.01,gzip,r_PhI,50,0.5555828020167738,1.0047366545033323e-31,0.06
lattice40,0.01,gzip,r_PhIIa,50,-0.9902720940330195,1.983249738089748e-119,0.04
lattice40,0.01,gzip,r_PhIIb,50,-0.9878980659551222,2.1512290301193104e-120,0.02
lattice40,0.01,gzip,r_Rg,50,0.8083332910394522,2.0266988156106095e-85,0.04
lattice40,0.01,gzip,r_NND,50,0.7983098622073799,4.4762226288394747e-85,0.04
lattice40,0.01,gzip,r_Var,50,0.6363683676952665,2.486716244572686e-74,0.08
lattice40,0.01,lzma,r_PhI,50,0.5331623242276329,2.4069608789155837e-25,0.04
lattice40,0.01,lzma,r_PhIIa,50,-0.8538901560460013,5.249312397733388e-76,0.08
lattice40,0.01,lzma,r_PhIIb,50,-0.9359010719071508,1.4922003157839012e-88,0.04
lattice40,0.01,lzma,r_Rg,50,0.9399086099833829,5.9400191131562155e-84,0.06
lattice40,0.01,lzma,r_NND,50,0.9362037186383649,2.3213093190736712e-83,0.06
lattice40,0.01,lzma,r_Var,50,0.8488972958150542,1.7849181745885909e-71,0.04
lattice40,0.01,none,r_PhI,50,0.0,,0.0
lattice40,0.01,none,r_PhIIa,50,0.0,,0.0
lattice40,0.01,none,r_PhIIb,50,0.0,,0.0
lattice40,0.01,none,r_Rg,50,0.0,,0.0
lattice40,0.01,none,r_NND,50,0.0,,0.0
lattice40,0.01,none,r_Var,50,0.0,,0.0
lattice40,0.01,zstd,r_PhI,50,0.1330010972816431,0.006986855042768595,0.02
lattice40,0.01,zstd,r_PhIIa,50,-0.9870593966438054,3.600836519499047e-114,0.02
lattice40,0.01,zstd,r_PhIIb,50,-0.9875290396013852,4.502890844931621e-117,0.04
lattice40,0.01,zstd,r_Rg,50,0.8130501040376227,1.2069379606233954e-84,0.02
lattice40,0.01,zstd,r_NND,50,0.8032668331687906,2.5790915392694493e-83,0.04
lattice40,0.01,zstd,r_Var,50,0.6404576023148505,4.814099129624434e-74,0.02
lattice40,0.1,bz2,r_PhI,50,0.7291366903772771,4.81035899324659e-44,0.04
lattice40,0.1,bz2,r_PhIIa,50,-0.9547052377353644,8.378428094669236e-95,0.04
lattice40,0.1,bz2,r_PhIIb,50,-0.9562678032915423,1.8554254890995381e-93,0.04
lattice40,0.1,bz2,r_Rg,50,0.8988590301909896,1.5391921554342995e-84,0.0
lattice40,0.1,bz2,r_NND,50,0.8915238481821639,7.91870024006709e-83,0.04
lattice40,0.1,bz2,r_Var,50,0.7597590487918826,7.94122309698016e-72,0.02
lattice40,0.1,gzip,r_PhI,50,0.5555828020167738,1.0047366545033323e-31,0.06
lattice40,0.1,gzip,r_PhIIa,50,-0.9568907983862676,1.3123400857231849e-97,0.04
lattice40,0.1,gzip,r_PhIIb,50,-0.9593083924216884,4.9933152953352865e-99,0.06
lattice40,0.1,gzip,r_Rg,50,0.9017852698233959,1.3889313413979744e-86,0.06
lattice40,0.1,gzip,r_NND,50,0.8945002488587579,1.9258257921570017e-85,0.06
lattice40,0.1,gzip,r_Var,50,0.762574279591614,1.658974197567342e-74,0.06
lattice40,0.1,lzma,r_PhI,50,0.5331623242276329,2.4069608789155837e-25,0.04
lattice40,0.1,lzma,r_PhIIa,50,-0.9852899786835269,1.6592864523952415e-109,0.04
lattice40,0.1,lzma,r_PhIIb,50,-0.988316144958924,1.2099592449197835e-118,0.06
lattice40,0.1,lzma,r_Rg,50,0.7306124313335498,3.0596809535853045e-66,0.04
lattice40,0.1,lzma,r_NND,50,0.719076376195969,2.9941691045771143e-65,0.04
lattice40,0.1,lzma,r_Var,50,0.5434771756798573,2.466315728201626e-55,0.04
lattice40,0.1,none,r_PhI,50,0.0,,0.0
lattice40,0.1,none,r_PhIIa,50,0.0,,0.0
lattice40,0.1,none,r_PhIIb,50,0.0,,0.0
lattice40,0.1,none,r_Rg,50,0.0,,0.0
lattice40,0.1,none,r_NND,50,0.0,,0.0
lattice40,0.1,none,r_Var,50,0.0,,0.0
lattice40,0.1,zstd,r_PhI,50,0.1330010972816431,0.006986855042768595,0.02
lattice40,0.1,zstd,r_PhIIa,50,-0.9570184310922736,2.6046533097776838e-95,0.02
lattice40,0.1,zstd,r_PhIIb,50,-0.9474085473392673,8.371495010255906e-89,0.06
lattice40,0.1,zstd,r_Rg,50,0.8906283012951635,3.770832378813344e-83,0.06
lattice40,0.1,zstd,r_NND,50,0.8830744739416728,5.948026164568769e-82,0.06
lattice40,0.1,zstd,r_Var,50,0.7479717013631046,3.525882363090668e-70,0.04
uniform40,0.001,bz2,r_PhI,50,0.3235941780148632,3.3403233545234386e-14,0.08
uniform40,0.001,bz2,r_PhIIa,50,-0.9579468579886478,5.591870840236033e-93,0.04
uniform40,0.001,bz2,r_PhIIb,50,-0.9574031590161401,4.64451112188714e-92,0.06
uniform40,0.001,bz2,r_Rg,50,0.8987944731050795,8.499991345385379e-79,0.02
uniform40,0.001,bz2,r_NND,50,0.8693811925418268,2.2401442376732005e-75,0.04
uniform40,0.001,bz2,r_Var,50,0.7512628815724659,2.0858182940768729e-66,0.02
uniform40,0.001,gzip,r_PhI,50,0.4281328138323065,2.255117172666963e-18,0.02
uniform40,0.001,gzip,r_PhIIa,50,-0.9458916979610124,2.479920525962854e-85,0.02
uniform40,0.001,gzip,r_PhIIb,50,-0.947809211297987,2.7284258935401695e-87,0.04
uniform40,0.001,gzip,r_Rg,50,0.8341283980163403,6.7447711708786426e-65,0.02
uniform40,0.001,gzip,r_NND,50,0.8012132929690263,1.5215150067034551e-62,0.02
uniform40,0.001,gzip,r_Var,50,0.6679196786096054,2.0274381486900898e-52,0.02
uniform40,0.001,lzma,r_PhI,50,0.4293615701947547,6.5260559456139565e-18,0.04
uniform40,0.001,lzma,r_PhIIa,50,-0.9707640083950857,2.1559306371831292e-88,0.02
